armenian,translations
ԱԶԳԱՊԱՀՊԱՆՈՒՄ,сохранение нации
ԱԶԳԱՊԱՌԱԿՏՈՒՄ,междоусобица
ԱԶԳԱՊԱՏՈՒՄ,история нации
ԱԶԳԱՊԵՏ,"вождь народа;родоначальник, патриарх"
ԱԶԳԱՋԻՆՋ,политика геноцида
ԱԶԳԱՍԵՐ,патриот;патриотический
ԱԶԳԱՍԻՐԱԲԱՐ,патриотически
ԱԶԳԱՍԻՐԱԿԱՆ,"патриотический, патриотичный"
ԱԶԳԱՍԻՐՈՒԹՅՈՒՆ,патриотизм
ԱԶԳԱՍՊԱՆ,"губящий нацию, народ"
ԱԶԳԱՍՊԱՆՈՒԹՅՈՒՆ,"уничтожение нации, народа, политика геноцида"
ԱԶԳԱՎԱՃԱՌ,"предательский, изменнический"
ԱԶԳԱՎՆԱՍ,"вредящий народу, нации"
ԱԶԳԱՏԵՑՈՒԹՅՈՒՆ,"ненависть к;своей;нации, к;своему;народу"
ԱԶԳԱՏՅԱՑ,"ненавидящий  нацию,  народ"
ԱԶԳԱՏՈՀՄ,"род, родня"
ԱԶԳԱՏՈՀՄԱՅԻՆ,"родовой, фамильный"
ԱԶԳԻ-ԱԶԳԻ,разнообразный
ԱԶԳՈՎԻՆ,"всем народом, всем миром"
ԱԶԳՈՒԹՅՈՒՆ,национальность
ԱԶԳՈՒՏԱԿ,"вся родня, весь род"
ԱԶԳՕԳՈՒՏ,"полезный для нации, для народа"
ԱԶԴ,оповещение;объявление
ԱԶԴԱԳԻՐ,афиша;письменное уведомление
ԱԶԴԱԳՐԵԼ,уведомлять
ԱԶԴԱԴՐՈՇ,сигнальный флажок
ԱԶԴԱԴՐՈՇԱԿ,сигнальный флажок
ԱԶԴԱԶԱՆԳ,сигнальный звонок
ԱԶԴԱԼԱՊՏԵՐ,сигнальный фонарь
ԱԶԴԱԿ,"побуждение, стимул, импульс, толчок;импульс"
ԱԶԴԱԿԵԼ,стимулировать
ԱԶԴԱՀՐԹԻՌ,сигнальная ракета
ԱԶԴԱՆՇԱՆ,сигнал
ԱԶԴԱՆՇԱՆԱՅԻՆ,сигнальный
ԱԶԴԱՆՇԵԼ,сигнализировать
ԱԶԴԱՆՇՈՒՄ,сигнализация
ԱԶԴԱՆՇՎԵԼ,сигнализироваться
ԱԶԴԱՇԵՓՈՐ,сигнальный рожок;горн
ԱԶԴԱՇՉԱԿ,сигнальный гудок
ԱԶԴԱՏԱԽՏԱԿ,доска объявлений
ԱԶԴԱՐԱՐ,"извещающий, возвещающий, оповещающий, гласящий;вестник, глашатай"
ԱԶԴԱՐԱՐԵԼ,"извещать, оповещать"
ԱԶԴԱՐԱՐՈՒԹՅՈՒՆ,"объявление, извещение, оповещение"
ԱԶԴԱՐԱՐՈՒՄ,"объявление, извещение, оповещение"
ԱԶԴԱՐԱՐՎԵԼ,"извещаться, оповещался"
ԱԶԴԵԼ,внушить
ԱԶԴԵՑԻԿ,влиятельный;внушительный
ԱԶԴԵՑՈՒԹՅՈՒՆ,"влияние, воздействие"
ԱԶԴՈՒ,"волнующий, впечатляющий;внушительный, веский;внушительно, впечатляюще"
ԱԶԴՈՒՄ,"воздействие, влияние"
ԱԶԴՎԵԼ,"подвергаться влиянию, воздействию;растрогаться, расчувствоваться"
ԱԶԴՐ,бедро
ԱԶԴՐԱՄԻՍ,мясо с бедренной части туши
ԱԶԴՐԱՅԻՆ,бедренный
ԱԶԴՐՈՍԿՐ,бедренная кость
ԱԶԻԶ,"родимый, родной, дорогой, любимый"
ԱԶՆԱՎՈՒՐ,"великан, исполин;злой дух"
ԱԶՆԻՎ,"честный, порядочный;высококачественный, отборный, добротный"
ԱԶՆՎԱԲԱՐ,"честно, порядочно"
ԱԶՆՎԱԲԱՐՈ,честный порядочный
ԱԶՆՎԱԴԵՄ,благородный
ԱԶՆՎԱԽՈՀ,"здравомыслящий, разумный"
ԱԶՆՎԱԿԱՆ,"дворянский, аристократический, знатный"
ԱԶՆՎԱԿԱՆԱԿԱՆ,"дворянский, аристократический"
ԱԶՆՎԱԿԱՆՈՐԵՆ,"по-благородному, благородно"
ԱԶՆՎԱԿԱՆՈՒԹՅՈՒՆ,"дворянство, знать, аристократия;благородство"
ԱԶՆՎԱԿԱՆՈՒՀԻ,дворянка
ԱԶՆՎԱԿԻՐԹ,устар
ԱԶՆՎԱՀՈԳԻ,"честный, порядочный"
ԱԶՆՎԱՀՈԳՈՒԹՅՈՒՆ,"честность, порядочность"
ԱԶՆՎԱՄԵԾԱՐ,"высокочтимый , достопочтенный"
ԱԶՆՎԱՄԻՏ,"честный, благонамеренный , благомыслящий"
ԱԶՆՎԱՄՈՐԻ,малина
ԱԶՆՎԱՄՏՈՒԹՅՈՒՆ,"честность, благонамеренность;устар"
ԱԶՆՎԱՇՈՒՔ,благородный
ԱԶՆՎԱՊԵՏԱԿԱՆ,олигархический;олигарх
ԱԶՆՎԱՊԵՏՈՒԹՅՈՒՆ,олигархия
ԱԶՆՎԱՍԱՐԵԿ,чиж
ԱԶՆՎԱՍԻՐՏ,чистосердечный
ԱԶՆՎԱՍՐՏՈՒԹՅՈՒՆ,чистосердечие
ԱԶՆՎԱՏՈՀՄ,"родовитый, знатный, высокородный"
ԱԶՆՎԱՏՈՀՄԻԿ,"родовитый, знатный, высокородный"
ԱԶՆՎԱՏՈՀՄՈՒԹՅՈՒՆ,"родовитость, знатность"
ԱԶՆՎԱՑԵՂ,"породистый, чистокровный"
ԱԶՆՎԱՑՈՒՄ,облагораживание
ԱԶՆՎԱՓԱՅԼ,"досточтимый, достоуважаемый"
ԱԶՆՎՈՒԹՅՈՒՆ,"честность, порядочность;в обращении с местоимениями"
ԱԶՈԽ,незрелый виноград;незрелый плод
ԱԶՈՏ,азот
ԱԶՈՏԱԹԹՈՒ,азотная кислота
ԱԶՈՏԱԿԱՆ,азотный
ԱԶՈՏԱՅԻՆ,азотистый
ԱԶՐԱՀԻԼ,удалец храбрец
ԱԶՐԱՅԻԼ,удалец храбрец
ԱԹԱՐ,кизяк
ԱԹԱՐԱԴԵԶ,"кизяк, сложенный в штабеля"
ԱԹԱՐՈՑ,кочерга
ԱԹԵԻԶՄ,атеизм
ԱԹԵԻՍՏ,атеист
ԱԹԵԻՍՏԱԿԱՆ,атеистический
ԱԹԼԵՏ,атлет
ԱԹԼԵՏԻԿԱ,атлетика;тяжёлая атлетика;лёгкая атлетика
ԱԹՈՌ,стул;резиденция епископа или католикоса
ԱԹՈՌԱԶՈՒՐԿ,"лишённый престола, трона, низложенный"
ԱԹՈՌԱԿ,стульчик
ԱԹՈՌԱԿԱԼ,"местоблюститель католикоса, патриарха, митрополита;преемник"
ԱԹՈՌԱԿԱԼԵԼ,"занимать престол католикоса, патриарха"
ԱԹՈՌԱԿԱԼՈՒԹՅՈՒՆ,"замещение престола католикоса, патриарха"
ԱԹՈՌԱԿԻՑ,соправитель
ԱԹՈՌԱՄՈԼ,карьерист
ԱԹՈՌԱՆԻՍՏ,"столица, стольный город;престольный, первопрестольный"
ԱԹՈՌԱՊԱՏԿԱՆ,эчмиадзинскому собору
ԱԹՈՌԱՍԵՐ,властолюбивый;карьерист
ԱԺԴԱՀԱ,"гигантский, исполинский;великан, исполин, гигант"
ԱԼ,"алый, ярко-красный"
ԱԼ-ԿԱՆԱՉ,ярко-зелёный
ԱԼ-ԿԱՐՄԻՐ,"ярко-красный, алый"
ԱԼԱԲԱՍՏՐ,алебастр
ԱԼԱԲԱՍՏՐԵ,алебастровый
ԱԼԱԲԱՍՏՐՅԱ,алебастровый
ԱԼԱՄ,"свет, мир, земля"
ԱԼԱՆ-ԹԱԼԱՆ,"грабёж, разбой"
ԱԼԱՆԱԼ,алеть
ԱԼԱՎ,пламя
ԱԼԱՐ,лениться
ԱԼԱՐԵԼ,лениться
ԱԼԱՐԿՈՏ,ленивый
ԱԼԱՐԿՈՏՈՒԹՅՈՒՆ,"лень, леность"
ԱԼԱՓ,фураж
ԱԼԲԱՆ,албанец;албанский
ԱԼԲԱՆԱԿԱՆ,албанский
ԱԼԲԱՆԱՑԻ,албанец
ԱԼԲԱՆԵՐԵՆ,"албанский язык;по-албански, на албанском языке;албанский"
ԱԼԲԱՆՈՒՀԻ,албанка
ԱԼԲՈՄ,альбом
ԱԼԲՈՍՈՐ,"ярко-красный, кроваво-красный, кумачовый"
ԱԼԵԳԻՐ,осциллограф
ԱԼԵԶԱՐԴ,"седой, седоволосый, седовласый;высок;убелённый сединой;седой старик;заснежённый, заснеженный, покрытый снегом, седой;о горах"
ԱԼԵԶԱՐԴՈՒԹՅՈՒՆ,"седина, седины"
ԱԼԵԶՈՒՍՊ,"ослабляющий, умеряющий силу волн"
ԱԼԵԼՈՒ,аллилуйя
ԱԼԵԼՈՒԻԱ,аллилуйя
ԱԼԵԽԱՌԸ,с проседью
ԱԼԵԽԱՌՆ,с проседью
ԱԼԵԽՌԻՎ,с проседью
ԱԼԵԾԱԾԱՆ,"колышущийся, колеблющийся, волнующийся, зыбкий"
ԱԼԵԾՈՒՓ,"взволнованный, мятущийся, мятежный"
ԱԼԵԾՓԱՆՔ,"зыбь, рябь;сильное волнение, смятение"
ԱԼԵԾՓԵԼ,"колыхать, волновать, рябить, зыбить;взволновать, смутить, лишить покоя"
ԱԼԵԾՓՈՒՄ,"волнение, волны"
ԱԼԵԾՓՎԵԼ,"колыхаться, волноваться, зыбиться;взволноваться, смутиться, лишиться покоя"
ԱԼԵԿՈԾ,"волнующийся, взволнованный"
ԱԼԵԿՈԾԵԼ,"взволновать, взбудоражить"
ԱԼԵԿՈԾՈՒԹՅՈՒՆ,волнение
ԱԼԵԿՈԾՈՒՄ,волнение
ԱԼԵԿՈԾՎԵԼ,"волноваться, взволноваться, разбушеваться;взволноваться, взбудоражиться"
ԱԼԵԿՈՐԾԱՆ,"разбитый волнами, затопленный;умеряющий силу волн"
ԱԼԵՀԱՎԱՔ,антенна
ԱԼԵՀԵՐ,"седой, поседелый"
ԱԼԵՄՈՐՈՒՍ,седобородый
ԱԼԵՍԱՆՁ,"умеряющий, укрощающий волны"
ԱԼԵՍԱՍՏ,"умеряющий, укрощающий волны"
ԱԼԵՎԱՐՍ,волнистый
ԱԼԵՎԵՏ,"бурливый, бурный;волнистый"
ԱԼԵՎՈՐ,"седой, седоволосый, седовласый;старик, старец;древний, старинный;покрытый белой пеной, седой"
ԱԼԵՎՈՐԵԼ,"стариться, седеть"
ԱԼԵՎՈՐԻԿ,разг
ԱԼԵՎՈՐՈՒԹՅՈՒՆ,старость
ԱԼԵՎՈՐՈՒԿ,крестовник
ԱԼԵՏԱՆՋ,"бурный, взволнованный, взбаламученный;смятенный , измученный волнением"
ԱԼԵՏԱՏԱՆ,"переливчатый, переливистый"
ԱԼԵՑԻՐ,антенна;передающая
ԱԼԵՑՈՒՆՑ,вызывающий волны;сотрясаемый волнами
ԱԼԵՓՐՓՈՒՐ,"вспененный, со вспененными волнами"
ԱԼԵՔՍԱՆԴՐՅԱՆ,александрийский
ԱԼԻԶԱՐԻՆ,"ализарин, красящее вещество"
ԱԼԻՄԵՆՏ,алименты
ԱԼԻՄԵՆՏԱՅԻՆ,алиментный
ԱԼԻՄԵՆՏԱՏՈՒ,алиментщик
ԱԼԻՔ,седина;седины
ԱԼԻՔ-ԱԼԻՔ,волна за волной
ԱԼԻՔԱՁԵՎ,"волнообразный, волнистый;волнообразно;с переливами"
ԱԼԻՔԱՅԻՆ,волновой
ԱԼԻՔԱՎՈՐ,"волнующийся, взволнованный;волнообразный, волнистый;гофрированный"
ԱԼԻՔԱՎՈՐԵԼ,гофрировать
ԱԼԻՔԱՎՈՐՈՒՄ,гофрирование
ԱԼԻՔԱՎՈՐՎԵԼ,гофрироваться
ԱԼԿՈՀՈԼ,алкоголь
ԱԼԿՈՀՈԼԱՄՈԼ,алкоголик
ԱԼԿՈՀՈԼԱՄՈԼՈՒԹՅՈՒՆ,алкоголизм
ԱԼԿՈՀՈԼԱՅԻՆ,алкогольный
ԱԼԿՈՀՈԼԱՉԱՓ,"спиртометр, спиртомер"
ԱԼՄԱՍՏ,"алмаз, драгоценный камень;бриллиант, огранённый алмаз;алмазный"
ԱԼՄԱՍՏԵ,алмазный
ԱԼՄԱՍՏՅԱ,алмазный
ԱԼՅԱԿ,лёгкая волна
ԱԼՅՈՒՄԻՆ,алюминий
ԱԼՅՈՒՄԻՆԱԳՈՐԾ,работник алюминиевой промышленности
ԱԼՅՈՒՄԻՆԵ,алюминиевый
ԱԼՅՈՒՐ,"мука;тонкий порошок, пудра"
ԱԼՅՈՒՐԱԹԱԹԱԽ,обвалянный в муке
ԱԼՅՈՒՐԱԽԱՌՆ,с примесью муки
ԱԼՅՈՒՐԱՇԱՏ,мучнистый
ԱԼՅՈՒՐԱՎԱՃԱՌ,"продавец муки, торговец мукой, мучник;устар"
ԱԼՅՈՒՐՈՏՎԵԼ,испачкаться мукой
ԱԼՈՃ,плод боярышника
ԱԼՈՃԱԹԻԹԵՌ,боярышница
ԱԼՈՃԵՆԻ,боярышник
ԱԼՉՈՒ,"выигрывающая сторона игральной бабки, конка;устар"
ԱԼՊԻԱԿԱՆ,альпийский
ԱԼՊԻՆԻԶՄ,альпинизм
ԱԼՊԻՆԻՍՏ,альпинист
ԱԼՊԻՆԻՍՏԱԿԱՆ,альпинистский
ԱԼՎԱՆ,"разноцветный, пёстрый, яркий;отборный, высококачественный"
ԱԼՎԱՆ-ԱԼՎԱՆ,"разноцветный, пёстрый, яркий"
ԱԼՏ,альт
ԱԼՐԱՂԱՑ,"мельница, мукомольня;мукомол;мукомольный"
ԱԼՐԱՄԲԱՐ,"мучной ларь, закром, сусек"
ԱԼՐԱՊԱՀԵՍՏ,мучной склад
ԱԼՐԱՑԵՑ,хлебная моль
ԱԼՐԱՑՈՂ,мучнистая роса
ԱԼՐԱՓՈՇԻ,мучная пыль;подболтка
ԱԼՐՄԱՂ,сито для муки
ԱԼՐՄԱՂԻ,бабочка
ԱԼՐՄԱՂԻԿ,бабочка
ԱԼՔ,злой дух
ԱԼՔԻՄԻԱ,алхимия
ԱԼՔԻՄԻԱԿԱՆ,алхимический
ԱԼՔԻՄԻԿՈՍ,алхимик
ԱԽ,эх! ох
ԱԽ-ՎԱԽ,ах! ох! э-хе-хе! ох-ох-ох
ԱԽՈՅԱՆ,"противник, соперник"
ԱԽՈՌ,"конюшня, хлев;стойло"
ԱԽՈՌԱՅԻՆ,конюшенный;стойловый
ԱԽՈՌԱՊԱՆ,"конюх, скотник"
ԱԽՈՌԱՊԵՏ,конюший
ԱԽՈՌԱՏՈՒՆ,скотный двор
ԱԽՈՐԺԱԲԱՐ,"с аппетитом, с удовольствием, охотно"
ԱԽՈՐԺԱԲԵՐ,"аппетитный, вызывающий аппетит"
ԱԽՈՐԺԱԲՈՒՅՐ,"ароматный, душистый"
ԱԽՈՐԺԱԼՈՒՐ,"благозвучный, приятный, гармоничный"
ԱԽՈՐԺԱԿ,аппетит
ԱԽՈՐԺԱՀԱՄ,аппетитный вкусный
ԱԽՈՐԺԱՀԱՄՈՒԹՅՈՒՆ,аппетитность
ԱԽՈՐԺԱՀՈՏ,"ароматный, душистый, благоухающий"
